mass	width	height	color_score
342	9.0	9.4	0.75
356	9.2	9.2	0.75
362	9.6	9.2	0.74
204	7.5	9.2	0.77
140	6.7	7.1	0.72
160	7.0	7.4	0.81
158	7.1	7.5	0.79
210	7.8	8.0	0.82
164	7.2	7.0	0.8
190	7.5	8.1	0.74
142	7.6	7.8	0.75
150	7.1	7.9	0.75
160	7.1	7.6	0.76
154	7.3	7.3	0.79
158	7.2	7.8	0.77
144	6.8	7.4	0.75
154	7.1	7.5	0.78
180	7.6	8.2	0.79
154	7.2	7.2	0.82
194	7.2	10.3	0.7
200	7.3	10.5	0.72
186	7.2	9.2	0.72
216	7.3	10.2	0.71
196	7.3	9.7	0.72
174	7.3	10.1	0.72
132	5.8	8.7	0.73
130	6.0	8.2	0.71
116	6.0	7.5	0.72
118	5.9	8.0	0.72
120	6.0	8.4	0.74
116	6.1	8.5	0.71
116	6.3	7.7	0.72
116	5.9	8.1	0.73
152	6.5	8.5	0.72
118	6.1	8.1	0.7
